Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,MVP
208,Christian Laettner,PF,27,ATL,82,82,38.3,6.7,13.8,0.486,0.4,1.1,0.352,6.3,12.7,0.497,0.5,4.4,5.4,0.816,2.6,6.2,8.8,2.7,1.2,0.8,2.7,3.4,18.1,1996-97,FALSE
209,Andrew Lang,C,30,MIL,52,52,23,2.2,4.8,0.464,0,0,,2.2,4.8,0.464,0.464,0.8,1.2,0.721,1.8,3.5,5.3,0.5,0.5,0.9,0.8,2.7,5.3,1996-97,FALSE
210,Antonio Lang,PF,24,CLE,64,1,13.2,1.1,2.5,0.42,0,0.1,0,1.1,2.4,0.436,0.42,0.5,0.8,0.729,0.8,1.2,2,0.5,0.5,0.5,0.8,1.7,2.7,1996-97,FALSE
211,Priest Lauderdale,C,23,ATL,35,0,5.1,1.4,2.5,0.551,0,0,0,1.4,2.5,0.557,0.551,0.4,0.7,0.565,0.5,0.8,1.2,0.3,0,0.3,1.1,1.1,3.2,1996-97,FALSE
212,Eric Leckner,C,30,TOT,20,1,6.3,0.7,1.7,0.424,0,0,,0.7,1.7,0.424,0.424,0.3,0.6,0.5,0.3,1.6,1.8,0.3,0.2,0.1,0.5,1.8,1.7,1996-97,FALSE
212,Eric Leckner,C,30,CHH,1,0,11,0,3,0,0,0,,0,3,0,0,0,0,,0,1,1,1,0,0,0,3,0,1996-97,FALSE
212,Eric Leckner,C,30,VAN,19,1,6.1,0.7,1.6,0.467,0,0,,0.7,1.6,0.467,0.467,0.3,0.6,0.5,0.3,1.6,1.8,0.2,0.2,0.1,0.5,1.7,1.8,1996-97,FALSE
213,Tim Legler,SG,30,WSB,15,0,12.1,1,3.2,0.313,0.5,1.9,0.276,0.5,1.3,0.368,0.396,0.4,0.5,0.857,0,1.4,1.4,0.5,0.2,0.3,0.6,1.4,2.9,1996-97,FALSE
214,Voshon Lenard,SG,23,MIA,73,47,28.9,4.3,9.4,0.459,2.5,6.1,0.414,1.8,3.3,0.541,0.593,1.2,1.4,0.819,0.5,2.5,3,2.2,0.7,0.2,1.5,2.3,12.3,1996-97,FALSE
215,Martin Lewis,SF,21,TOR,9,0,5.6,0.7,1.6,0.429,0.1,0.3,0.333,0.6,1.2,0.455,0.464,0.1,0.2,0.5,0.4,0.2,0.7,0.4,0.1,0.2,0.1,0.9,1.6,1996-97,FALSE
216,Alton Lister,C,38,BOS,53,2,9.7,0.6,1.5,0.416,0,0,,0.6,1.5,0.416,0.416,0.4,0.6,0.742,1.2,1.9,3.2,0.2,0.2,0.3,0.6,1.8,1.6,1996-97,FALSE
217,Randy Livingston,PG,21,HOU,64,0,15.3,1.6,3.6,0.437,0.1,0.3,0.409,1.4,3.2,0.44,0.456,0.7,1,0.646,0.5,1,1.5,2.4,0.6,0.2,1.6,1.7,3.9,1996-97,FALSE
218,Horacio Llamas,C,23,PHO,20,2,5.1,0.8,1.4,0.536,0,0,,0.8,1.4,0.536,0.536,0.2,0.4,0.5,0.2,0.7,0.9,0.2,0.5,0.3,0.6,1.3,1.7,1996-97,FALSE
219,Brad Lohaus,PF,32,TOR,6,0,7.5,0.7,2.5,0.267,0.3,1.2,0.286,0.3,1.3,0.25,0.333,0,0,,0.2,1,1.2,0.2,0.2,0,0.2,1,1.7,1996-97,FALSE
220,Grant Long,PF,30,DET,65,24,17.9,1.9,4.2,0.447,0.3,0.7,0.362,1.6,3.5,0.465,0.478,1,1.3,0.75,1.4,2.1,3.4,0.6,0.7,0.1,0.7,1.6,5,1996-97,FALSE
221,John Long,SG,40,TOR,32,0,11.6,1.4,3.7,0.393,0.4,1.1,0.353,1.1,2.6,0.41,0.444,0.8,0.9,0.893,0.2,1.1,1.3,0.7,0.3,0.1,0.8,0.9,4,1996-97,FALSE
